pageNumber,name,scientificName,flowers,sectionTitle,description,habitat,location,collection,uses,caution,backgroundInformation
16,"Shepherd’s Purse","Capsella Bursa-pastoris","January - December","white-flowering edibles","Rosette structure of leaves has a single stem, fl owering at tip and leaving seedpods on stems as tip grows. Mustard Family.","Fields, pastures, lawns, roadside, railroads",Statewide,"Leaves, February - April; Seeds, June -September","Salad, potherb, vegetable, breadstu ff","","Shepherd’s purse differs from peppergrass in the branching and pod structure. Shepherd’s purse has heart-shaped or old-fashioned shepherd’s purse pods while the peppergrass pod is more round. Peppergrass has several branches off the central stem while shepherd’s purse sends a single stem up from its rosette. The two are, however, interchangeable in preparations. The young leaves, flowers, and seeds may be wilted, made into slaw or used in a tossed salad. The peppery twang of the green leaves has given it another name of “salt and pepper.” Shepherd’s purse may be boiled as a potherb or tossed in a bacon grease, crumbs, vinegar and water solution and simmered. The seeds of this plant were gathered by Indians and ground into a meal for breads. It is reputed to be an excellent check against internal hemorrhaging and hemorrhoids. For this medicinal tea, stir a large teaspoon of leaves in a cup of boiling water for half an hour. Drink cold, two or more cups a day. Good? Oh, well, it’s goo d for you!"
17,"Water Cress",Nasturtium,"April - October","white-flowering edibles","Branched, bushy. Thick, juicy stem, tiny white flower cluster (flat) on stem end. Leaves opposite and divided. Mustard Family.","Springs and spring-fed streams","Southern and central Missouri","January - December","Salad, soup","","Watercress is a delicacy to be sure. Fond memories of wilted watercress, which came from a nearby spring, are part of my growing up. My mother would fry two strips of bacon, crumble them over the water cress and wilt the mess by bringing to a boil equal amounts of bacon grease, vinegar and water. She added 1 T sugar and a dash of salt to the boiling mixture and poured it immediately over the fresh greens. These are fascinating stories of the effects of water cress ranging from the ability to expel worms, kill the unborn child, act as an aphrodisiac, or good for a deranged mind. I tend to agree with the last effect as I’m sure that anyone eating watercress has a more pleasant outlook just commenting on how good it is. Some cautions are worth mentioning when picking watercress. If there is question that the water in which it grows might be contaminated, it is advisable to soak the cress in water with a water-purifying tablet. Also, be sure you can recognize poisonous water hemlock and avoid that plant in your picking. As avid canoe floating enthusiasts, we often pick a small handful of watercress to have with our “camp salad” that evening. It adds a peppery zing to the meal. Watercress can be used raw in salads or sandwiches, or it can be cooked as a potherb. I do not recommend the latter. Angier gives a great soup recipe for watercress. Add 1 cup chopped watercress to 3 cups milk which has been heated with 1½ t salt. Simmer for five minutes. Beat at last minute before you serve and add another cup of milk or cream which is allowed to heat. Top with a dash of paprika and a sprig of cress. Also good when ½ cup is added to your regular scrambled eggs."
18,"Spring Cress","Cardamine bulbosa","March - June","white-flowering edibles","Basal leaves, alternate on smooth stem. Small, 4 petal flower. Mustard Family.","Wet woodland, wet meadows, around springs, moist ledges","Southern and central Missouri","March - June","Salad, horseradish substitute","","These cress plants add another flavor tingle to your wild salad bowl. The spring cress has a hint of horseradish, but both are welcome and interesting as edible wildings. I generally use a vinegar-oil salad dressing for my wild salads, but any dressing of your choice is suitable. The bulb-like base of the spring cress stem may be grated, mixed with vinegar and used as a substitute for horseradish."
19,Gooseberry,"Ribes missouriense","April - May","white-flowering edibles","Simple, palmate leaf, irregular toothed. Woody stems with spines. Flowers dangle downward. Saxi-frage Family.","Rocky or open dry woods, thickets","Statewide, except southeast","Leaves, March - May; Fruit, June - September","Fruit, pie, cobbler, jelly, tea","","Just mention gooseberries to me and the saliva begins to flow. This is due to the fact that I love the sour, tart berry and am enthusiastic about all of the products made from it. To enjoy a gooseberry while it is green, one must hold the berry in the mouth, slowly breaking it open and allowing adequate saliva to accumulate and dilute the sour flavor. The puckery berry, for my taste, is best when picked still green. The gooseberry hangs on a stem, which generally pulls off with the berry. A hairy beard or whiskers remains on the flowering end of the berry. Both stems and whiskers must be plucked off before using in pies or cobblers. One must truly work for his supper if gooseberry pie is on the menu. Although time consuming, the result is par-excellence! After stems and whiskers are removed, put washed berries in a pie shell. Add 1 ¼ cup sugar, ½ t salt, 1 ½ T flour, 1 T oleo, and top with the upper crust. Bake at 400° for 45 minutes to an hour, or until golden brown. The ripe reddish or purple berry does not have the tangy tartness and is preferred by some in the pie. If ripe berries are used, add only ¾ cup of sugar. The delicate, pink colored jelly made from the green gooseberry is ambrosial food on hot breads. Gooseberry jam is equally good. My mother kills two birds with one stone when making both jelly and jam. She covers the berries with water and cooks for ten minutes or so. Then she pours off most, but not all, of the juice liquid. This is made into jelly by returning it to the heat, adding a small amount of Sure-Jell and a cup of sugar per cup of liquid. The remainder of the juice and berries was run through a colander to get as much of the pulp as possible. Again measure cup for cup with sugar, but add no Sure-Jell in jam. When the liquid slithers off the spoon and begins to gel, pour into sterilized jars and seal. Gooseberry leaves may be used raw in a tossed salad or slaw. The young dried leaves may be used for making tea. Pick the young leaves and allow three months to dry. A tea is made by adding 1 t crushed gooseberry leaves to one cup of hot water and allowing it to steep for several minutes. Another name for this fruit is feverberry, so called because it is said to help break a fever by crushing 1 t of the berries and adding that to a cup of hot water. Whatever the name – feverberry, current, or gooseberry – it’ s not great, it’s FANTASTIC!!!!!"
21,"Shadbush, Service Berry, Juneberry","Amelanchier arborea","March - May","white-flowering edibles","Small tree, white blossoms appear before leaves. Leaf is oval and toothed. Rose Family.","Rocky, open woods, steep wooded slopes and bluffs",Statewide,"June - July","Raw, jelly, pies","","I include a page on this tree simply to point out a valuable lesson I learned the hard way. The first spring I photographed the beautiful flowers of the March-blooming shadbush, I vowed to return for a sample of the promised fruits in June. I had read that the berries turn from a red to a purple wine- color when ripe. Although I thought I knew where the trees were located, I couldn’t find any of them. In the spring, the shadbush blooms before any of its leaves are out and very few of the other trees have leafed out. The berries occur during peak foliage, which enables the tree to be easily hidden and causes confusion in locating. I missed a whole year because I had not carefully pinpointed my shadbush’s location. Do so! The raw berries are rather bland, but make a good jelly. It takes a lot of berries to make a pie. I suggest a pie made in an old potpie pan. Steyermark tells of preparing the fruits into a paste and drying it. Try the recipe for Persimmon Leather in this book (page 40). The Indians mixed the dried leather with corn meal for a bread."
23,Strawberry,"Fragaria virginiana and F. vesca","April - May","white-flowering edibles","Three-part leaflets, sawtoothed. Rose Family.","Wooded slopes along streams, open slopes, prairie, railroads",Statewide,"May - June","Berry, jam, shortcake topping, tea","","A hiker’s delight is to walk into a wild strawberry patch! A field nibble is both thirst quenching and tastebud arousing. Sometimes sweet, sometimes tart, the wild strawberry is always good. An even greater thrill is to lo cate a patch big enough to provide a wild strawberry shortcake or tarts and still have enough to make jam!!! The wild strawberry ranges from the size of a pea to thumb-size. With both size and quantity often small, I frequently make the small quarter-size d tarts out of my favorite piecrust recipe and place a tablespoon of berries which have been stemmed and sugared in the tart. This I call Again Strawberry Tart. You’ll want it again and again. In August when the leaves begin to dry, pick them for a tea. The leaves may also be picked in the spring and dried. The leaves are a high source of vitamin C and were welcomed in the spring by the settlers. The dried leaves require 1 t per cup for a tea, and a fresh cup requires 4-5 fresh leaves. Let them steep for 3-5 minutes. A good recipe for jam is to place equal amounts of crushed berries and sugar in a saucepan. Cook over medium heat, stirring frequently, until the sugar melts. Boil rapidly for 10 to 15 minutes or until mixture begins to thicken. It is not recommended to fix quantities larger than four cups in one batch. Success will be more likely by making two batches of three or four cup quantities. All in all, this wilding goes the same places her larger domestic cousin goes. For an even greater tart or shortcake, top with whipped cream or ice cream - from a wild cow, of course!!"
24,Raspberry,"Rubus occidentalis","April -June","white-flowering edibles","Three coarsely toothed leaflets, bottom whitish. Stems whitish (rubs off), purple canes, stickers.","Edge of woods, fields, roadsides, thickets","Statewide except lower southeast Missouri","June -July","Jam, jelly, berry, pie, syrup, tea","","The purplish-white canes of the raspberry are an instantly recognizable friend in the spring. As the young shoots are forming, the peeled sprouts make a field nibble for a hungry hiker. The berry ripens in June and is much the same color as the blackberry, as this is the black raspberry. The fruits turn from green to white to red to a purple- black. It is tough to find a better berry to enjoy fresh with cream and sugar or as a topping with your cereal. It makes a superb pie by adding fresh berries to a piecrust, cover with sugar, add a dash of salt, 2 T flour and a dab of butter. Top with another crust and bake at 400° with a tantalizing aroma as an accompaniment. The jelly and jam made from the raspberry are praised highly. Cover the berries with water, simmer 10-15 minutes, drain off most of the liquid for jelly. Use a cup of sugar per cup of raspberry juice. Again, it is best to cook no more than three or four cups in any one batch. For each batch, use a package of Sure-Jell (or any pectin additive). Boil this in a large pan as it foams high and can easily spill over. The remaining juice and berries should be run through the colander for jam. Add equal amounts of sugar but add no pectin in jams. When the mixture has boiled until it slithers off the spoon, pour into sterilized jars and seal. A delicious syrup can be made as if you were preparing to make jelly. You do not add pectin nor do you cook as long as jelly. The syrup is heavenly on a batch of cattail pollen pancakes, or just plain ones for that matter! The young leaves of raspberry, when dried, make a tea substitute that is especially good when mixed with dried orange peel or lemon peel. Fernald and Kinsey did state that one might be cautious of the fresh tea as the tea made from fresh leaves might be harmful. I decided not to try it! Dried leaves are good. Add 1 t crushed leaves to a cup of water that is boiling and steep for 3-5 minutes. A wine may be made by crushing the berries and straining into a crock. Add a pound of powdered sugar per quart and stir occasionally for the next three days. The settled liquid is siphoned off and added to two parts sherry. It is ready in about two weeks, the New England Farmer claims. However it doesn’t taste bad immediately, and a year later it is even better! A tasty liqueur is made by filling a bottle half full of raspberries. Add one cup sugar dissolved with a small amount of water. Fill with a good whiskey and allow this to be forgotten for 3-6 months. Strain off the liquid and bottle. The young raspberry shoots can be cut and eaten, making a good field nibble."
26,Blackberry,"Rubus pensil vanicus and several other species","April - June","white-flowering edibles","Star-shaped, ridged stems erect from ground. Leaves in threes, stem thorny, berries white, red, then blackish when ripe. Rose Family.","Fencerows, roadsides, hillsides, thickets, meadows, pastures, prairies","Scattered statewide","Leaves, April - May; Berries, July - August","Pies, berry, cobbler, jelly, jam, drink, liqueur, tea","","I look forward to blackberry picking every year despite the fact that one must conquer briers and chiggers in exchange for the delicious berries entwined. I try to locate ripe berries after July 4th and can sometimes pick as late as August. When picking blackberries, long sleeves and blue jeans are musts to ward off the briers. My husband is convinced that chiggers and blackberries are interchangeable words. Consequently, a good dusting of bug spray is recommended before you begin to pick. Our two daughters are good berry pickers and provide several pies for us each year. Before raving over the cooked wonders of these berries, let me assure you that the raw fruit is scrumptious. A perfect way to start the day is to serve blackberries on a morning cereal, or plain with cream and sugar. They are equally delicious when served with ice cream, in a milkshake or in a fruit salad. I believe it is impossible to serve blackberries in a way that I would not like. Our favorite, however, is a hot and bubbling blackberry pie served with a scoop of ice cream. For a pie, fix your pastry in the pie pan. Wash the berries and fill the crust almost to the top. Cover the berries with sugar, then sprinkle a tablespoon of flour over the top along with a small amount of salt. Drop several butter pats on the top and cover with another crust. I recommend baking the pie on a cookie sheet to protect the oven, because the pie often bubbles over. Bake at 350° for almost an hour. The first bite is delicious and every bite thereafter improves!!! Blackberry jelly is another must on the wild list. To make jelly, cover the bottom of a Dutch oven or large saucepan with an inch of berries and put water over them. Let this simmer at a slow boil for ten minutes or so and pour off the liquid. A good rule of thumb when making jelly is to cook no more than four cups of jelly at a time since the mixture boils and foams up during the cooking process. Measure the liquid and add a package of pectin per four cups of liquid. When the juice begins to show signs of boiling, add equal cups of sugar per cups of juice. This will boil and start to thicken. One jelly test is to let a spoonful of jelly flow off your spoon back into the pot. When the last drops begin to collect before falling off and sort of slither off the spoon, the jelly is ready to pour into sterilized jars. Another test is to drop a dab onto a saucer. If it hardens and doesn’t run, the jelly is ready. I usually let the jelly set for a while and spoon the whitish scum off the top before putting into the jars. When making jelly, save some of the juice for syrup. Boil equal parts of blackberry juice and sugar. Do not add the pectin when syrup is your goal. When the juice and sugar begins to thicken, pour into a jar for pancakes. Jam made from these blessed berries is fit for gods. I often use my Mother’s double trick. Fix the berries for jelly, pour off most of the liquid, but leave some of the juice. To make jam, put all of the berries and the small amount of juice in the colander to get out as much pulp as possible. Return the pulp and juice to the stove with equal amounts of sugar. Pectin is never used in jam. It takes a little longer for the mixture to thicken, but when it does you have a treat. A blackberry liqueur worth fussing over is easily fixed. Put blackberries in the bottom half of a bottle and add raw or granulated sugar that has been mixed with a small amount of water. Cover all of this, filling the remainder of the bottle with a good whiskey. Allow it to set for at least three months. Strain out all liquid and pour into a dark bottle. In early spring before and during the flowering stage, the young leaves may be picked and made into a tea. I prefer to dry the leaves thoroughly and save for winter. To serve, put a scant teaspoon of crushed leaves in a cup of boiling water and allow it to steep for three or four minutes before straining out the leaves. Sweeten with honey or sugar. I’ve been toying with drying th e fruits to use in muffins, pancakes, cakes, etc. This would make a neat treat to take backpacking. My experiments have been successful, although they are very seedy. I’ve dried the berries both on a screen and in my oven. I left them in the attic on an old window screen for a couple of months. To dry in the oven, place the berries one layer deep on a cookie sheet and leave in a slow oven, 200°, for two days and nights. The dried berries are not very tasty, as is the raisin, but if I were to have to survive on my own means for a long period of time, it would be worthwhile. There are many recipes for the use of blackberries in puddings, cakes, cobblers and the like. Any good cookbook will offer you a variety of ways in which you might prepare these small yummies. I’ve managed to try several of these varieties, but find the pie so much more to my fa mily’s liking that other baked goods seem to be a waste of the blackberry. Part of the fun in picking blackberries is that you eat one raw berry for every two or three that makes its way into your bucket. Blackberry stains the fingers rather badly and makes tattletale evidence on the mouth as well. I have often used old, soft socks on my hands when picking. These are a bit like a mitten, but large enough to allow the fingers to move and pick easily. Regardless of the hardships in picking, the pies from these berries are like the gold medal for the marathon… the endurance and physical tearing are forgotten with the victory and the prize!!!"
29,Dewberry,"Rubus flagellaris","April - June","white-flowering edibles","As blackberry except stems trail or sprawl, tips root. Rose Family.","Rocky open woods, thickets, prairies, roadsides, railroads",Statewide,"June - August","Same as blackberry","","The main difference between the dewberry and blackberry is the stem. Dewberries have a trailing or sprawling stem whose tips take root. The blackberry stem is erect, often arching, but the ends do not root. Some people seem to think the dewberry is larger and juicier than the blackberry. I won’t dispute this. The f ruits are used in exactly the same way as the blackberry which makes it a food from the heavens!"
30,"Black Cherry","Prunus serotina","April - May","white-flowering edibles","Leaves with rounded teeth, fruit in grape- like bunches, dark when ripe. Rose Family.","Woods, along streams",Statewide,"July - August","Jelly, syrup, liqueur","See page 208","The wild black cherry, or rum cherry, obtained the name because of its color and the fact that the juice was an excellent additive to rum in making a cherry drink. To make a cherry liqueur, four parts of cherries to one part water is simmered for 15 minutes. Strain the mixture and for every cup of liquid, add equal amounts of sugar, bring to a boil, pour into sterilized jars and seal for future use. One part of juice may then be added to two parts of rum, whiskey or brandy Another method used in making a liqueur is a recipe called cherry bounce. A friend of mine makes this with any wild fruit and the results are superb! Fill a bottle half full of cherries, add raw or melted sugar and fill with whiskey. About 1 or 1 ½ cups of sugar seems to be the right touch of sweetness for us. This mixture should be allowed to set for at least two months and a year of aging is much better. Strain in a plastic strainer, rather than a metal one, to avoid discoloration and serve after your next dinner! These cherries also make a delicious dark red jelly. Cover the cherries with water and simmer for 10 minutes or more. Strain off the juice and measure it. For each cup of liquid add 1¼ cups of sugar and a package of pectin per every four cups. A trick when making jelly is to measure the liquid and add pectin before returning to the stove. Just as the liquid begins to boil, add the sugar and stir almost continuously until the mixture thickens and the last couple of drops off the spoon slither together and drop like thin jelly. Allow the mixture to cool slightly, spoon off the scum created by the pectin and your jelly is ready to bottle and seal or cover with paraffin. An excellent syrup can be made from wild cherries. I have even used a batch of “already used for jelly making” cherries for my syrup. Cook the cherries as directed for jelly. When you have poured off the juice for jelly, place fresh water over the same cherries and boil gently for 15 minutes. This second water makes a syrup that is a pleasant surprise for pancakes. To make syrup, add equal amounts of sugar and a dab of butter to your juice, return to the stove and boil for just long enough to notice a thickening of the liquid. Serve hot over pancakes and bottle the extra syrup for another day’s treat. The cherries, which hang down much like a cluster of wild grapes, turn from white or greenish to red before reaching the dark purple or blackish color when ripe. They are about the size of a pea and rather sour to eat raw. They are not difficult to pick and the results are certainly worth the effort."
32,"Kentucky Coffeetree","Gymnocladus dioica","May - June","white-flowering edibles","leaves alternate, doubly compound, 8-12 leaflets. E gg - shaped, entire, sharp tip, dark green above and below. Pea Family.","low or rich woods, base of bluffs, along streams",Scattered,"Winter - Spring","Coffee, nut","","The pod of the Kentucky coffeetree is a large, attractive case housing 6 to 9 oval brown seeds. The shell around the seed is hard, making them difficult to crack open. The first time I obtained some of the pods, I pried the pod open, took out the seed and attempted to bite it, almost ruining a tooth. Realizing that there was a shell around the seed, I got a hammer and proceeded to the cement steps for pounding. The slightly rounded seed squirted out from under the hammer as though it had been greased! Retrieving it from across the driveway and noticing that the bean was still intact, I attempted to hammer at it again with an instant replay of the above proceedings. Next I took careful aim and held onto the bean. It took several HARD whacks to finally break it open. The raw bean somewhat resembles the taste of raw peanuts. I did know that was certainly a lot of work, so I set out to find an easier way to get the bean out of its shell. I tried soaking in water, freezing and roasting. Bonanza! Roasting at 350° was the answer. The shells pop open slightly and can then be opened easily with a nutcracker. The roasted beans are a reasonably good nut, especially when salted or soaked in salted water solution and rebaked. When coffee is the goal, bake an additional two hours at 200°. This should produce a dark brown bean that, when ground, makes a decent cup of caffeine-free coffee. My biggest problem was not to let the grounds become too fine as it clogged up the coffeepot strainer and produced nothing but a mess. The tree holds onto the pods, dropping them in early spring. Prior to that time, you need to be part squirrel to climb out on the limb or have access to a cherry picker!"
34,"Black Locust","Robinia pseudo-acacia","May - June","white-flowering edibles","Medium tree, compound leaf with 7-19 alternate leaflets. Spines on branches at base of leaf stalk. Pea Family.","Dry or rocky up land woods, along streams, pastures, thickets, waste lands","Statewide, probably every county","May - June, flowers; Fall - po ds","Fritter, tea, vegetable","See page 208","The black locust is a tree to use with caution. Many parts of the tree are poisonous, including the seeds and bark, but the flowers are reputed to be edible. The blossoms make a dandy fritter for breakfasts, luncheons or with dinner. Prepare a medium thick pancake batter and dip the flower cluster into it. Fry this in hot fat until golden. Absorb as much of the grease as possible on a paper towel, squeeze with either lemon or orange juice and roll in powdered or granulated sugar. A tea is made by pouring boiling water over the flowers and allowing it to steep. It wasn’t because the taste was bad that my intake was a small dose, but rather the fact that one authority questioned the poisonous qualities of such a tea. I’m still here!"
35,"New Jersey Tea","Ceanothus americanus","May - November","white-flowering edibles","Low shrub, oval and alternate leaves, dark green above, pale below with three ribs. Flowers on long stalk, airy pom-poms. Buckthorn Family","Upland rocky prairies, glades, open woods, thickets, railroads",Statewide,Summer,Tea,"","New Jersey tea has played an interesting role in our American history. It was one of the unsung heroes of the Boston Tea Party. This protest move by the colonists over a tax on imported teas resulted in a boycott of those teas and local substitutes were found. One of these was the New Jersey tea. The freshly picked leaves make a fair tea. To brew a cup of fresh New Jersey tea, pick 4 - 5 leaves and wash thoroughly. Pour one cup of boiling water over them and allow them to steep for 3-5 minutes. Most tea drinkers prefer to gather the leaves while the plant is still in bloom and allow them to dry. Leaves may be dried in a variety of ways. Lay them out on a cookie sheet and leave on an unused kitchen counter (are there such creatures?). Or, place the leaves in a bag and tie up near the ceiling for a few months. They may be placed on newspapers and stored in the attic. After a long, thorough drying period, put the leaves into a jar to store until needed. As I’m writing this I’m drinking a cup of New Jersey tea I gathered last summer after a float trip on the North Fork River. To make the tea with dried leaves, put a healthy teaspoon of crushed leaves in a tea strainer and pour one cup of boiling water over it allowing this to steep for the 3 - 5 minutes recommended by most tea sources. It has an amber color and is not at all unpleasant when aided by honey or sugar. I can, however, understand the pioneers’ desire for an occasional cup of the imported stuff!!"
36,"American Basswood","Tilia americana","May - July","white-flowering edibles","Lopsided, heart- shaped leaves. Alternate. Dark green above, light green below. Flowers dangle from a stalk, which has narrow, leaflike wing. Linden Family.","River and stream banks, rich woods, slopes",Statewide,"May - July","Tea, chocolate substitute, vegetable","","The flowers of basswood have such a sweet fragrance it’s no wonder the tea is so flavorful. There is a large basswood in the corner of the school playground where I teach, so my supply is large. The flowers may be used fresh or dried for tea. Indians were supposed to have eaten the buds in spring, both as a thirst quencher and cooked as a vegetable. The fruits grind up to make a chocolate substitute. The problem is in preserving it. Make only enough for your present needs, as the chocolate won’t keep."
37,Honewort,"Cryptotaenia canadensis","May - August","white-flowering edibles","Tall stem, leaves 3- parted, toothed. Tiny white flowers. Seed pods about 1 / 3 inch long. Parsley Family.","Rich, rocky woods, ravines, low ground in wood valley, streams.",Statewide,"March - June","Potherb, salad","","The early leaves and stems are a fine addition to your wild salad. The stems may also be cooked as an asparagus-like vegetable by boiling for 4 - 5 minutes in salted water and dousing with butter. It is reputed to have an edible root. Although I have not tried the root as yet, several sources indicate that when boiled the root is eaten with oil (perhaps butter?)."
38,"Queen Anne’s Lace","Daucus carota","May - October","white-flowering edibles","Lacy flat flower clusters. Leaves finely cut, fern-like. Hairy stems. 3 bracts, forked, below flowerhead. Parsley Family.","Fields, waste grounds, roadsides, railroads, thickets",Statewide,"March - June, leaves; November - March, roots","Vegetable, seeds, salad","See page 212","This lacy flower with fern-like foliage is the mother of our present carrot. It is suggested in some books that the plant may be poisonous; other readings point out the similarity of wild carrots and the poisonous water hemlock. In checking the two plants, I’ve a clue for identification. Wild carrot has many small hairs on the stem, while the stems of the water hemlock are smooth and hairless. The roots dug in spring are fair; later in the summer they become woody and inedible, although they give a hint of flavor to a stew. Just remember to dip out the carrot root before serving. The seeds have a strong carrot taste and may be dried, stored in a spice jar, and used as a caraway seed replacement on rolls and breads, or as a seasoning in your favorite soup or stew. To dry the seeds, clip off the flowering umbels after they have dried on the stalk and already formed the “bird nest” shape, which gives the plant one of its common names. Allow the seeds to continue drying inside and then rub out the seeds. The young leaves may be added to a tossed salad or used in vegetable soups. Another interesting meal is Wild Carrot Fritters. Dip the flowerheads in a thin pancake batter and fry until golden."
39,"Deerberry, Squaw Huckleberry","Vaccinium vacillans","April - May","white-flowering edibles","Branching shrub, small oval, alternate leaves. Small bell-shaped flowers, dangle downwards. Heath Family.","Acid soils of sandstone, chert, open rocky woods, ridges, glades","Central and southern Missouri","June -August","Jelly, fruit","","The deerberry is so called because the white-tail deer enjoy the twigs and buds of this shrub. Another name is Squaw Huckleberry. Suppose it is an Indian dish? This tiny berry requires time to find and gather. It is a sour fruit when eaten raw, with very little pulp inside the thick skin. Consequently, time seems to pass more slowly since you don’t pick three and eat one as with other berries. It has been suggested that the deerberry has a taste of gooseberry-cranberry-grapefruit combination of sour, tart and bitter. I personally find the fruit distinctive and unique. I, too, fail to appreciate the warm fruit, but when chilled and served cold it becomes passable. I prefer, however, the jelly. The yellow-green jelly is made by boiling the fruit for about 10 minutes in just enough water to cover it. Pour off the liquid and measure. For each cup of juice, add equal amounts of sugar and 1 box Sure-Jell per four cups. Boil until the mixture slithers off the spoon. Remove from the heat, skim off the white foam on top and pour into your jelly jars. This is a real dinner party treat!"
40,Persimmons,"Diospyros virginiana","May - June","white-flowering edibles","Alternate, oval leaves on short stalks. Top dark green, pale on bottom. Bark like alligator hide. Cream flowers, bell shape. Ebony Family.","Rocky or dry open woods, borders of woods, prairies, fallow and abandoned fields.","Scattered but not in far northern counties","","Fruit, breads, pies, candy, jelly, butter","","A thoroughly ripe persimmon is very high on my favorite wild fruit list. While it has a taste unlike anything I can describe, it is a fruit fit for the gods! Persimmon trees have a habit of multiplying rapidly and ultimately becoming a grove. While I’m all for more of these groves, trees and locations do vary consider ably in the quality of fruit produced. I have a “favorite” tree that consistently produces large, sweet fruits. I enjoy eating the fruits as I pick it, but it must be soft and mushy to be good. The green persimmons have the same effect as alum, making you r mouth shrivel and pucker. The time of ripening is a variable. Sometimes the fruits are sweet with no hint of the bitter quality long before the first frost, while others retain the bitterness even after frost and long into the fall. To pick persimmons, I take my family along. My husband shakes the tree and the girls and I gather up the fallen orange goodies from the ground. Talk about manna from heaven!!!!! Persimmon pulp — raw fruit run through a colander — can be used in a variety of ways: cakes, breads, cookies, puddings, tortes and pies, to mention a few. A very good pie for Thanksgiving is to use your favorite pumpkin pie recipe and substitute persimmon pulp for the pumpkin. It is delicious and very similar to the pumpkin. Another excellent use of this “sugar plum” is as a torte which is a recipe from Missouri College of Agriculture. Mix 1 cup bread crumbs, 1 t baking powder, 1 t salt, 1½ cups persimmon pulp and ½ cup nuts. Beat 2 egg yolks with ½ cup sugar. Add 4 egg whites which have been beaten stiff. Fold in a teaspoon of vanilla and pour into a greased shallow pan. Bake 30 minutes in a 325° oven. This may be served hot or cold. Euell Gibbons’ recipe is outstanding for Persimmon Nut Bread. Sift together 2 cups flour, 1 t soda. Cream 1 cup sugar, 1½ sticks oleo and mix in 2 well-beaten eggs. Add the creamed mixture to the dry ingredients, add 1 cup persimmon pulp, ½ cup of nuts and bake in 2 small loaf pans for an hour at 325°. Heavenly!!! I often freeze the pulp for later use. A unique way to use the pulp, however, is to spread it out very thinly on a cookie sheet and dry it in a 250° open-door oven for an hour or slightly longer. The leather, as it is called, must be allowed to dry completely. I learned from experience that it molds when stored in a sealed jar prior to being completely dried. It may then be cut into small squares and used as a fruit “jerky” for backpack trips. This also becomes a delicious addition to cookies as a raisin substitute or to candy as a date substitute. A favorite at Christmas time is Persimmon-Nut Candy Log. Boil 2 cups of sugar, 1 cup evaporated milk and a dab of butter to form a soft ball. Add 1 cup Persimmon Leather. Boil to hard ball stage, remove from heat, cool, add 1 cup hickory nuts or black walnuts and 1 t vanilla. Beat and roll in waxed paper. Cut off slices as desired. A good Persimmon Butter is made by using the recipe which follows: Combine 2½ cups persimmon pulp, 3 cups sugar, 1 t cinnamon, 2 small cinnamon sticks, ¼ t cloves, dash of allspice, juice of 1 / 3 lemon and 1 / 3 cup Rhine wine. Boil until thick. While persimmon jelly is good, Persimmon Butter is so much better, I rarely make the jelly. The whole fruits may be preserved by packing tightly in a fruit jar and surrounding each layer of persimmons with a layer of sugar until the jar is full. Seal this jar and save for special people. My first batch of persimmon preserves were a failure; they brandied! I did add a small amount of water to the layers of sugar. They were delicious on ice cream, but the gnats were so bad around the jar that they were saved only by placing in the refrigerator. Would that more of my failures were like that!! The green leaves gathered through mid-summer make a passable tea, while the dried leaves make an even better one. Both fresh and dried, the tea is an excellent source of vitamin C. Another beverage obtained from this plant is a coffee-substitute made from the seeds. Roast the seeds for 4 hours in a low oven, 225°, or overnight at 200°. Grind the seeds for caffeine-free coffee which I find quite good. Because I love the persimmon bread and torte too well, I need to freeze lots of pulp. Consequently, you can bet that this fall I’ll be competing with the opossums and raccoons!!!"
42,Plantain,"Plantago rugelii and P. lanceolata","April - October","white-flowering edibles","Basal leaves, parallel-appearing veins. Flower stalk holds terminal spikes. Plantain Family.","Dry soils, pastures, lawns, fields, gardens, waste grounds, roadsides","Scattered statewide","April - August","Potherb, salad, tea","","Plantain is a common plant which makes a nuisance of itself in yards and gardens. There are two most common varieties. One has a narrow, long leaf while the other has a rounder, wider leaf. The narrow leaf, or English plantain, has a white flower cluster while the common plantain sends up green flower spikes. Missouri has eleven different plantain species listed. The leaves, when young, give another wild lettuce addition to a wild salad. Since the plant multiplies easily, new growth may be found over long periods of time. The young leaves are also a welcome addition to your greens mess. However, since plantain doesn’t need much cooking, nor much water when fixing, it is best when fixed alone. The best method is to “Chinese it” — to boil it quickly in very little water until tender yet still a bit crunchy. A tea may be made from steeping several leaves in a cup of boiling water for 3-4 minutes. The taste is pretty bad, but it is high in vitamins A and C. As a matter of fact, I’ve read that a strong tea made from plantain leaves is soothing, was considered helpful for diarrhea, bedwetting and ridding the body of worms. Applied externally as a poultice, plantain tea was used to aid healing of insect bites, snakes bites, boils and the like. Kirk states that the seeds may be eaten parched or ground into a meal. I’ve found the raw seed not unlike wheat germ in taste, which I assume may be the reason behind one of the nicknames, Indian Wheat. I understand that the seeds may be soaked in a teaspoon of hot water and used as a laxative. If this is a concern of yours when camping, as it is with me, try it. It hasn’t proven to be effective yet, but I’m increasing the amo unts of the seeds each time. As a salad, the young leaves are very good. I use an oil-vinegar dressing on most of my wild salads. Rid your yard of plantain by eating heartily in the early spring! I rather imagine it would not thrive so if the leaves remained tender longer."
